"","word","happiness_rank","happiness_average","happiness_standard_deviation","twitter_rank","google_rank","nyt_rank","lyrics_rank","isFunction"
"2518","signing",2518,6.04,1.4841,3091,NA,4586,NA,0
"2519","sofa",2519,6.04,1.3547,4929,NA,NA,NA,0
"2520","supplies",2520,6.04,1.3991,4214,2700,3583,NA,0
"2521","tops",2521,6.04,1.0872,4753,NA,NA,4678,0
"2522","transport",2522,6.04,1.293,NA,2074,NA,NA,0
"2523","union",2523,6.04,1.3991,2744,585,378,4165,0
"2524","visible",2524,6.04,0.8797,NA,2326,4964,NA,0
"2525","vocal",2525,6.04,1.5513,NA,NA,4647,4931,0
"2526","washington",2526,6.04,1.2115,1697,859,174,NA,0
"2527","words",2527,6.04,1.1945,687,302,1164,251,0
"2528","xp",2528,6.04,1.5113,3022,NA,NA,NA,0
"2529","carriage",2529,6.02,1.2289,NA,4764,NA,NA,0
"2530","beings",2530,6.02,1.2498,NA,2516,NA,NA,0
"2531","colored",2531,6.02,1.7379,NA,3839,NA,NA,0
"2532","considerations",2532,6.02,1.4067,NA,2696,NA,NA,0
"2533","nearest",2533,6.02,1.2498,NA,4902,NA,NA,0
"2534","porch",2534,6.02,1.6006,NA,NA,NA,2794,0
"2535","relate",2535,6.02,1.5206,NA,4051,NA,3583,0
"2536","seventeenth",2536,6.02,1.1813,NA,4697,NA,NA,0
"2537","vibe",2537,6.02,1.4789,NA,NA,NA,2457,0
"2538","1980's",2538,6.02,1.7437,NA,NA,NA,NA,0
"2539","acres",2539,6.02,1.3169,NA,3547,3682,NA,0
"2540","aircraft",2540,6.02,1.4068,NA,3796,2657,NA,0
"2541","amen",2541,6.02,1.8789,2846,NA,NA,4085,0
"2542","basket",2542,6.02,1.0784,2907,NA,NA,NA,0
"2543","blog",2543,6.02,1.4068,231,NA,NA,NA,0
"2544","cards",2544,6.02,1.3013,1305,3875,2592,1997,0
"2545","celebrity",2545,6.02,1.7082,2092,NA,NA,NA,0
"2546","christians",2546,6.02,2.0151,NA,2790,NA,NA,0
"2547","concepts",2547,6.02,1.2856,NA,2161,NA,NA,0
"2548","content",2548,6.02,1.6224,1745,1021,4035,3987,0
"2549","creates",2549,6.02,1.4356,NA,4590,NA,NA,0
"2550","delivery",2550,6.02,1.4356,2847,3024,2580,NA,0
"2551","developing",2551,6.02,1.0971,NA,1628,2522,NA,0
"2552","doll",2552,6.02,1.943,2430,NA,NA,2642,0
"2553","download",2553,6.02,1.3476,824,NA,NA,NA,0
"2554","eggs",2554,6.02,1.9948,2348,3621,NA,4786,0
"2555","engineers",2555,6.02,1.1337,NA,4116,4235,NA,0
"2556","essential",2556,6.02,0.8919,4742,1079,3616,NA,0
"2557","fixed",2557,6.02,1.0593,2050,1163,NA,4088,0
"2558","float",2558,6.02,1.4068,NA,NA,NA,2258,0
"2559","fridge",2559,6.02,1.1156,3621,NA,NA,NA,0
"2560","fund-raising",2560,6.02,1.7437,NA,NA,NA,NA,0
"2561","inn",2561,6.02,1.237,4703,NA,NA,NA,0
"2562","jam",2562,6.02,2.0252,1856,NA,NA,1419,0
"2563","japanese",2563,6.02,1.5713,2172,1264,1005,NA,0
"2564","male",2564,6.02,1.3626,2564,1280,3016,3108,0
"2565","monetary",2565,6.02,1.3923,NA,4322,4656,NA,0
"2566","native",2566,6.02,1.4068,NA,1269,2406,NA,0
"2567","newspapers",2567,6.02,1.4637,NA,3368,2798,NA,0
"2568","objectives",2568,6.02,1.237,NA,2894,NA,NA,0
"2569","pregnancy",2569,6.02,2.2451,NA,3622,NA,NA,0
"2570","presence",2570,6.02,1.0593,4875,763,1928,2627,0
"2571","production",2571,6.02,1.2036,3214,461,569,NA,0
"2572","programs",2572,6.02,1.6349,3849,1232,695,NA,0
"2573","pub",2573,6.02,1.6962,2841,NA,NA,NA,0
"2574","quick",2574,6.02,1.6349,576,2592,2563,857,0
"2575","rare",2575,6.02,1.7201,2899,2120,2495,3508,0
"2576","records",2576,6.02,1.2856,2559,1434,1061,1940,0
"2577","retire",2577,6.02,1.8012,NA,NA,4863,NA,0
"2578","simple",2578,6.02,1.4637,1062,623,1943,860,0
"2579","sophisticated",2579,6.02,1.7553,NA,NA,4179,NA,0
"2580","teams",2580,6.02,1.1692,2746,NA,1368,NA,0
"2581","totally",2581,6.02,1.1156,565,3457,3942,3424,0
"2582","try",2582,6.02,0.9366,238,1017,769,151,0
"2583","unwind",2583,6.02,1.846,NA,NA,NA,4458,0
"2584","voting",2584,6.02,1.3775,2877,NA,2405,NA,0
"2585","walk",2585,6.02,1.5451,591,1795,1776,212,0
"2587","windows",2587,6.02,1.3923,1074,2280,2416,1816,0
"2588","wondering",2588,6.02,1.3476,852,NA,NA,1236,0
"2589","writes",2589,6.02,1.3775,NA,2868,1446,NA,0
"2590","xoxo",2590,6.02,1.7082,1871,NA,NA,NA,0
"2591","rains",2591,6.01,1.8722,NA,NA,NA,2663,0
"2592","1990's",2592,6,1.5779,NA,NA,NA,NA,0
"2593","act",2593,6,1.2936,1119,292,905,671,0
"2594","adapted",2594,6,1.4142,NA,3561,NA,NA,0
"2595","alliance",2595,6,1.6537,NA,3227,2465,NA,0
"2596","allow",2596,6,1.4708,2622,1157,1085,3135,0
"2597","applicable",2597,6,1.0302,NA,3829,NA,NA,0
"2598","archives",2598,6,1.4425,NA,4712,NA,NA,0
"2599","attend",2599,6,0.9689,3178,3180,2667,NA,0
"2600","attending",2600,6,1.1066,4246,NA,4225,NA,0
"2601","automatic",2601,6,1.4732,NA,4641,NA,2993,0
"2602","automatically",2602,6,1.5584,NA,4966,NA,NA,0
"2603","avatar",2603,6,1.6288,1193,NA,NA,NA,0
"2604","beans",2604,6,1.6537,3168,NA,NA,4537,0
"2605","beliefs",2605,6,1.5138,NA,3068,NA,NA,0
"2606","bien",2606,6,1.4428,3059,NA,NA,1239,0
"2607","biggest",2607,6,1.3248,1225,NA,1583,2480,0
"2608","brew",2608,6,1.633,NA,NA,NA,4408,0
"2609","brook",2609,6,1.6413,NA,NA,3539,NA,0
"2610","cambridge",2610,6,1.4846,NA,1547,2226,NA,0
"2611","concentrations",2611,6,1.2882,NA,3837,NA,NA,0
"2612","conscience",2612,6,1.3401,NA,3350,NA,2590,0
"2613","continent",2613,6,1.2289,NA,3914,NA,NA,0
"2614","crimson",2614,6,1.5138,NA,NA,NA,4237,0
"2616","exactly",2616,6,1.7143,1157,1574,2352,1611,0
"2617","extend",2617,6,0.9035,NA,3071,939,NA,0
"2618","favor",2618,6,2.0603,619,2425,2179,2533,0
"2619","finale",2619,6,1.6162,4007,NA,NA,NA,0
"2620","find",2620,6,1.5779,214,240,419,129,0
"2621","fireplace",2621,6,1.8844,NA,NA,3681,NA,0
"2622","fixing",2622,6,1.069,4458,NA,NA,NA,0
"2623","glance",2623,6,1.178,NA,4368,NA,3106,0
"2624","global",2624,6,1.4846,1495,2191,1560,NA,0
"2626","hands",2626,6,1.4846,977,510,1542,265,0
"2627","heating",2627,6,1.5779,NA,4451,NA,NA,0
"2628","indeed",2628,6,1.1952,1714,469,1360,2896,0
"2629","integral",2629,6,1.3093,NA,4699,NA,NA,0
"2630","itunes",2630,6,1.8952,1145,NA,NA,NA,0
"2631","japan",2631,6,1.3093,2433,1481,982,4945,0
"2632","jenny",2632,6,1.6811,NA,NA,NA,4351,0
"2633","king's",2633,6,1.8626,NA,2652,NA,NA,0
"2634","lawn",2634,6,1.2289,3868,NA,4398,4020,0
"2635","lighting",2635,6,1.4428,4756,NA,2353,NA,0
"2636","likewise",2636,6,1.2454,NA,2816,NA,NA,0
"2637","lmfao",2637,6,2.1285,1001,NA,NA,NA,0
"2638","make",2638,6,0.9897,86,127,127,61,0
"2639","meaning",2639,6,1.0498,2640,747,2844,1462,0
"2640","mega",2640,6,1.6413,3985,NA,NA,NA,0
"2641","metals",2641,6,1.354,NA,4125,NA,NA,0
"2642","mucho",2642,6,1.2617,3828,NA,NA,3016,0
"2643","nations",2643,6,1.5518,NA,1011,681,4204,0
"2644","network",2644,6,1.2778,991,1536,1136,NA,0
"2645","olive",2645,6,1.1429,4172,NA,NA,NA,0
"2646","opened",2646,6,1.2289,2462,1299,1312,1632,0
"2647","oregon",2647,6,1.178,4520,NA,4439,NA,0
"2648","owns",2648,6,1.2936,NA,NA,2063,NA,0
"2649","participants",2649,6,1.0302,NA,3415,3847,NA,0
"2650","pilot",2650,6,1.069,3948,4983,3377,NA,0
"2651","principle",2651,6,1.4846,NA,818,3855,NA,0
"2652","religion",2652,6,1.8295,3865,773,3056,2360,0
"2653","result",2653,6,1.1606,2961,360,888,NA,0
"2654","service",2654,6,1.1606,710,354,150,3671,0
"2655","sights",2655,6,1.4983,NA,NA,NA,3502,0
"2656","sites",2656,6,1.1606,1782,2198,1885,NA,0
"2657","sponsor",2657,6,1.4142,NA,NA,4896,NA,0
"2658","started",2658,6,1.069,560,1057,947,572,0
"2659","stereo",2659,6,1.2936,NA,NA,NA,3145,0
"2660","stores",2660,6,0.9689,2630,3589,999,NA,0
"2661","successor",2661,6,1.4428,NA,NA,4616,NA,0
"2662","survive",2662,6,1.7957,3209,4197,2973,977,0
"2663","surviving",2663,6,1.7496,NA,NA,2199,NA,0
"2664","today's",2664,6,0.9897,NA,NA,NA,NA,0
"2665","tuned",2665,6,0.9689,3629,NA,NA,NA,0
"2666","virgin",2666,6,1.5779,2189,NA,NA,3250,0
"2667","vista",2667,6,1.3851,3577,NA,NA,NA,0
"2668","walked",2668,6,0.9897,1825,1945,2684,716,0
"2669","2-car",2669,5.98,1.4213,NA,NA,NA,NA,0
"2670","action",2670,5.98,1.4213,1264,326,757,1566,0
"2671","afternoon",2671,5.98,1.237,831,2376,1645,2138,0
"2672","anytime",2672,5.98,1.2534,3042,NA,NA,1718,0
"2673","attempting",2673,5.98,0.9998,NA,4560,NA,NA,0
"2674","audience",2674,5.98,1.4356,3911,2071,1332,NA,0
"2675","august",2675,5.98,1.4356,4031,1081,543,NA,0
"2676","author",2676,5.98,1.3923,3084,904,362,NA,0
"2677","awww",2677,5.98,1.7784,1268,NA,NA,NA,0
"2678","bbc",2678,5.98,1.2534,1381,NA,NA,NA,0
"2679","began",2679,5.98,0.9581,NA,452,550,1531,0
"2680","biography",2680,5.98,1.4497,NA,NA,3013,NA,0
"2681","broadcast",2681,5.98,1.2856,4704,NA,2317,NA,0
"2682","canada",2682,5.98,1.5318,1176,1758,1720,NA,0
"2683","communities",2683,5.98,1.3169,NA,1935,2600,NA,0
"2684","contributor",2684,5.98,1.3476,NA,NA,1626,NA,0
"2685","creatures",2685,5.98,1.3775,NA,4230,NA,3733,0
"2686","declaration",2686,5.98,1.2204,NA,3111,NA,NA,0
"2687","dell",2687,5.98,1.4068,3776,NA,NA,NA,0
"2688","dialogue",2688,5.98,1.237,NA,4045,4160,NA,0
"2689","drum",2689,5.98,1.3775,NA,NA,NA,1881,0
"2690","ebook",2690,5.98,1.4356,4192,NA,NA,NA,0
"2691","egg",2691,5.98,1.4356,1688,4556,NA,NA,0
"2692","explained",2692,5.98,1.3169,NA,1571,2818,NA,0
"2693","fabric",2693,5.98,1.0971,4616,NA,NA,NA,0
"2694","father-in-law",2694,5.98,1.8125,NA,NA,NA,NA,0
"2695","feature",2695,5.98,1.1692,2398,1985,2770,NA,0
"2696","ferry",2696,5.98,1.2856,NA,NA,3530,NA,0
"2697","fingertips",2697,5.98,1.1337,NA,NA,NA,4648,0
"2698","flash",2698,5.98,1.0398,1770,NA,NA,1918,0
"2699","flights",2699,5.98,1.8897,4414,NA,3352,NA,0
"2700","folk",2700,5.98,1.4356,3899,3833,3793,4027,0
"2701","gathered",2701,5.98,1.3169,NA,3032,4441,3924,0
"2702","grammys",2702,5.98,1.4497,4637,NA,NA,NA,0
"2703","heh",2703,5.98,1.2696,2673,NA,NA,3553,0
"2704","hill",2704,5.98,1.3923,1547,1287,883,1114,0
"2705","http",2705,5.98,1.2534,NA,4268,NA,NA,0
"2706","identity",2706,5.98,1.1156,3437,1569,3481,NA,0
"2707","informal",2707,5.98,1.4497,NA,4977,NA,NA,0
"2708","ireland",2708,5.98,1.3626,4067,2192,3074,NA,0
"2709","java",2709,5.98,1.5583,4683,NA,NA,NA,0
"2710","july",2710,5.98,1.6962,4224,890,248,3741,0
"2711","keys",2711,5.98,1.2036,2120,NA,NA,1577,0
"2712","lego",2712,5.98,1.2696,4949,NA,NA,NA,0
"2713","lessons",2713,5.98,1.3775,2860,4002,3955,3364,0
"2714","looks",2714,5.98,1.3775,299,2053,1728,650,0
"2715","macbook",2715,5.98,1.5185,1922,NA,NA,NA,0
"2716","mcdonalds",2716,5.98,2.3342,3831,NA,NA,NA,0
"2717","meets",2717,5.98,1.0971,3882,NA,3296,3125,0
"2718","messages",2718,5.98,0.9366,2447,4203,3880,NA,0
"2719","national",2719,5.98,1.1516,1113,257,135,NA,0
"2720","netherlands",2720,5.98,1.3323,NA,4950,4722,NA,0
"2721","nintendo",2721,5.98,1.7319,3817,NA,NA,NA,0
"2722","normal",2722,5.98,1.0784,1467,655,2435,3062,0
"2723","nyc",2723,5.98,1.5842,1249,NA,922,NA,0
"2724","organization",2724,5.98,1.1337,NA,710,758,NA,0
"2725","originally",2725,5.98,1.1337,NA,2364,3164,NA,0
"2728","pairs",2728,5.98,1.1692,NA,4500,NA,NA,0
"2729","pic",2729,5.98,1.1692,629,NA,NA,NA,0
"2730","planned",2730,5.98,1.2696,2713,2870,1022,2298,0
"2731","pop",2731,5.98,1.237,1245,NA,1386,712,0
"2732","prose",2732,5.98,1.505,NA,4610,NA,NA,0
"2733","recordings",2733,5.98,1.237,NA,NA,3342,NA,0
"2734","represented",2734,5.98,1.1692,NA,1274,1922,NA,0
"2735","robin",2735,5.98,1.2204,3542,NA,2653,3929,0
"2736","schools",2736,5.98,1.4356,2593,742,680,NA,0
"2737","singapore",2737,5.98,1.7899,4672,NA,NA,NA,0
"2738","sounds",2738,5.98,1.2036,398,2664,2774,1005,0
"2739","specialized",2739,5.98,1.3323,NA,4964,NA,NA,0
"2740","store",2740,5.98,0.9792,654,2151,1145,1350,0
"2741","sweater",2741,5.98,1.4776,4275,NA,NA,NA,0
"2742","tonight's",2742,5.98,1.4068,NA,NA,NA,NA,0
"2743","train",2743,5.98,1.4913,950,2033,1751,635,0
"2744","triple",2744,5.98,1.1337,4713,NA,NA,3307,0
"2745","wing",2745,5.98,1.1516,4892,3399,3603,3047,0
"2746","faire",2746,5.98,1.5068,NA,NA,NA,3849,0
"2747","lasts",2747,5.98,1.7617,NA,NA,NA,3181,0
"2748","nana",2748,5.98,1.7617,NA,NA,NA,3914,0
"2749","precisely",2749,5.98,1.2827,NA,2518,NA,NA,0
"2750","probable",2750,5.98,1.3306,NA,3001,NA,NA,0
"2751","refer",2751,5.98,1.1085,NA,2257,NA,NA,0
"2752","spoon",2752,5.98,1.5477,NA,NA,NA,4277,0
"2753","similarly",2753,5.98,1.0816,NA,2136,NA,NA,0
"2754","glimpse",2754,5.98,1.1701,NA,NA,NA,4445,0
"2755","souls",2755,5.98,1.713,NA,3582,NA,1144,0
"2757","academic",2757,5.96,1.5644,NA,2112,2893,NA,0
"2758","allowed",2758,5.96,1.7375,2340,974,1162,3618,0
"2759","assistance",2759,5.96,1.428,NA,1703,2656,NA,0
"2760","authorized",2760,5.96,1.5513,NA,4748,NA,NA,0
"2761","bacon",2761,5.96,2.0698,2006,NA,NA,NA,0
"2762","bay",2762,5.96,1.4978,1686,2241,1272,2066,0
"2763","bf",2763,5.96,1.6283,2765,NA,NA,NA,0
"2765","collected",2765,5.96,1.1599,NA,2187,4314,NA,0
"2766","convinced",2766,5.96,0.9681,4487,3015,3821,4516,0
"2767","destined",2767,5.96,1.4563,NA,NA,NA,4548,0
"2768","discuss",2768,5.96,1.2282,3307,2321,2047,NA,0
"2769","driven",2769,5.96,1.2771,NA,2396,3904,3305,0
"2770","everyone's",2770,5.96,1.261,NA,NA,NA,NA,0
"2772","fav",2772,5.96,1.9479,1431,NA,NA,NA,0
"2773","features",2773,5.96,1.2115,2887,1149,2733,NA,0
"2774","flickr",2774,5.96,1.1945,3524,NA,NA,NA,0
"2775","french",2775,5.96,1.5381,1348,460,826,3099,0
"2776","gig",2776,5.96,1.3991,2700,NA,NA,NA,0
"2777","gracias",2777,5.96,1.5381,4196,NA,NA,NA,0
"2778","gym",2778,5.96,1.5113,942,NA,NA,NA,0
"2779","head",2779,5.96,1.0683,330,300,568,158,0
"2780","heels",2780,5.96,1.1241,3450,NA,NA,2624,0
"2781","hundreds",2781,5.96,1.6655,3777,3366,1783,NA,0
"2782","including",2782,5.96,0.9026,2028,506,282,NA,0
"2783","islanders",2783,5.96,1.293,NA,NA,4654,NA,0
"2784","jeep",2784,5.96,1.7375,NA,NA,NA,4418,0
"2785","job",2785,5.96,1.7257,339,912,522,922,0
"2786","largely",2786,5.96,1.0294,NA,1476,2039,NA,0
"2787","made",2787,5.96,1.0683,193,87,100,176,0
"2788","mambo",2788,5.96,1.7257,NA,NA,NA,3711,0
"2789","match",2789,5.96,0.9889,1665,3540,1673,2203,0
"2790","memoir",2790,5.96,1.2447,NA,NA,3737,NA,0
"2791","mighty",2791,5.96,1.3087,2710,4242,NA,1312,0
"2792","mmmmm",2792,5.96,1.8622,4608,NA,NA,NA,0
"2794","netflix",2794,5.96,1.8731,4070,NA,NA,NA,0
"2795","players",2795,5.96,1.6157,2217,4284,743,3204,0
"2796","potentially",2796,5.96,1.5113,NA,NA,4783,NA,0
"2797","presently",2797,5.96,1.261,NA,4327,NA,NA,0
"2798","proof",2798,5.96,1.0683,2962,1973,4903,2069,0
"2799","reaches",2799,5.96,1.3696,NA,4344,NA,NA,0
"2800","reflecting",2800,5.96,1.2282,NA,NA,4661,NA,0
"2801","related",2801,5.96,1.261,2468,670,1084,NA,0
"2802","releases",2802,5.96,1.4702,4140,NA,NA,NA,0
"2803","reveal",2803,5.96,1.3547,NA,3515,NA,3015,0
"2804","reveals",2804,5.96,1.4702,NA,4204,NA,NA,0
"2805","rocks",2805,5.96,1.4841,1730,2637,NA,1259,0
"2806","roommate",2806,5.96,1.5513,4976,NA,NA,NA,0
"2807","season",2807,5.96,1.1421,544,2102,360,1975,0
"2808","selection",2808,5.96,1.293,4627,1764,3054,NA,0
"2809","ship",2809,5.96,1.2282,1807,1436,3096,1489,0
"2810","ships",2810,5.96,1.0093,NA,2004,4621,3453,0
"2811","similar",2811,5.96,1.0872,2920,440,1077,NA,0
"2812","space",2812,5.96,1.0093,571,614,724,740,0
"2813","stadium",2813,5.96,1.5774,4613,NA,2187,NA,0
"2814","starts",2814,5.96,1.1945,1061,4745,2341,959,0
"2815","taught",2815,5.96,1.4563,3674,1831,2286,1281,0
"2816","world's",2816,5.96,1.3395,NA,4005,NA,NA,0
"2817","writer",2817,5.96,1.5381,1859,1721,232,NA,0
"2818","yep",2818,5.96,1.6655,1351,NA,NA,4462,0
"2819","justify",2819,5.96,1.3379,NA,4334,NA,3844,0
"2820","pupil",2820,5.96,1.3838,NA,4447,NA,NA,0
"2821","spreading",2821,5.96,1.3064,NA,NA,NA,3956,0
"2822","wales",2822,5.96,1.4994,NA,4131,NA,NA,0
"2823","whoo",2823,5.96,1.6951,NA,NA,NA,2463,0
"2824","deeds",2824,5.96,1.3202,NA,4991,NA,4797,0
"2825","exhibit",2825,5.96,1.2541,NA,3770,NA,NA,0
"2826","fiddle",2826,5.96,1.7254,NA,NA,NA,4801,0
"2827","exceed",2827,5.96,1.5174,NA,4839,NA,NA,0
"2828","3d",2828,5.94,1.6088,NA,NA,NA,NA,0
"2829","alternative",2829,5.94,1.3911,3603,1714,2322,NA,0
"2830","approach",2830,5.94,1.1678,4478,622,1451,4601,0
"2831","awe",2831,5.94,2.0938,4655,NA,NA,NA,0
"2832","ballet",2832,5.94,1.5832,NA,NA,1725,NA,0
"2833","begins",2833,5.94,1.1502,2330,2091,1831,1513,0
"2834","building",2834,5.94,1.1141,650,640,433,1793,0
"2835","business",2835,5.94,1.4626,416,339,97,1134,0
"2836","carpet",2836,5.94,1.1502,2891,NA,NA,3921,0
"2837","chick",2837,5.94,1.6464,1593,NA,NA,1444,0
"2838","choose",2838,5.94,1.1851,1522,1900,2418,868,0
"2839","consent",2839,5.94,1.2191,NA,2862,NA,NA,0
"2840","continental",2840,5.94,1.1141,NA,4689,4181,NA,0
"2841","correspondence",2841,5.94,1.3157,NA,3136,NA,NA,0
"2842","custom",2842,5.94,0.9127,1696,2808,NA,NA,0
"2843","decided",2843,5.94,1.3911,1089,1162,1100,2565,0
"2844","diary",2844,5.94,1.1502,NA,4940,2518,NA,0
"2845","echo",2845,5.94,1.2357,NA,NA,NA,2374,0
"2846","elevation",2846,5.94,1.5174,NA,4795,NA,NA,0
"2847","european",2847,5.94,1.1678,4005,841,868,NA,0
"2848","exports",2848,5.94,1.2191,NA,3718,3882,NA,0
"2849","finds",2849,5.94,1.2521,2627,2426,3254,2958,0
"2850","forum",2850,5.94,1.2521,2496,NA,3099,NA,0
"2851","framework",2851,5.94,1.0577,NA,2509,NA,NA,0
"2852","frank",2852,5.94,1.3001,3134,2511,655,3972,0
"2853","gather",2853,5.94,1.0768,NA,NA,NA,2098,0
"2854","germany",2854,5.94,1.5703,3361,1076,1098,NA,0
"2855","image",2855,5.94,1.6587,2108,995,1723,2366,0
"2856","impression",2856,5.94,1.0768,NA,2360,4505,NA,0
"2857","include",2857,5.94,1.2022,3228,750,443,NA,0
"2858","inherent",2858,5.94,1.3763,NA,4249,NA,NA,0
"2859","intention",2859,5.94,1.2843,NA,2546,NA,NA,0
"2860","investor",2860,5.94,1.3001,NA,NA,3470,NA,0
"2861","jet",2861,5.94,1.634,2928,NA,4193,2776,0
"2862","joyce",2862,5.94,1.5174,NA,NA,2650,NA,0
"2863","kings",2863,5.94,1.5308,2960,2949,3735,1820,0
"2864","knew",2864,5.94,1.3001,745,512,844,289,0
"2865","larger",2865,5.94,1.5308,NA,897,1740,NA,0
"2866","letter",2866,5.94,1.0956,1198,519,984,1194,0
"2867","listen",2867,5.94,1.4344,539,2833,3893,361,0
"2868","looking",2868,5.94,0.9775,215,777,772,294,0
"2869","mba",2869,5.94,1.834,NA,NA,2498,NA,0
"2870","member",2870,5.94,1.1141,2164,797,269,NA,0
"2871","men",2871,5.94,1.3911,608,131,496,521,0
"2872","movement",2872,5.94,0.9348,3350,555,1428,3889,0
"2873","nation's",2873,5.94,1.544,NA,NA,NA,NA,0
"2874","obama",2874,5.94,2.161,488,NA,NA,NA,0
"2875","ok",2875,5.94,1.731,221,NA,NA,750,0
"2876","oooh",2876,5.94,1.7192,2857,NA,NA,906,0
"2877","option",2877,5.94,1.3911,1473,3429,2526,NA,0
"2878","phoenix",2878,5.94,1.6088,3284,NA,3158,NA,0
"2879","player",2879,5.94,1.6214,1505,4963,1062,2041,0
"2880","portfolio",2880,5.94,1.4344,NA,NA,4653,NA,0
"2881","preparations",2881,5.94,1.4057,NA,4525,NA,NA,0
"2882","presidential",2882,5.94,1.5174,NA,4939,1261,NA,0
"2883","prom",2883,5.94,1.3763,4876,NA,NA,NA,0
"2884","proper",2884,5.94,1.3911,2979,932,3883,3696,0
"2885","pulse",2885,5.94,1.3311,NA,4070,3699,4579,0
"2886","reality",2886,5.94,1.6464,1619,1095,2223,1072,0
"2887","regularly",2887,5.94,0.8668,NA,3811,4075,NA,0
"2888","reservations",2888,5.94,1.4626,NA,NA,3186,NA,0
"2889","salmon",2889,5.94,1.7072,NA,NA,4856,NA,0
"2890","scene",2890,5.94,1.3311,1609,1364,1315,934,0
"2891","societies",2891,5.94,1.3614,NA,2283,NA,NA,0
"2892","submitted",2892,5.94,1.3001,NA,3822,NA,NA,0
"2893","substantial",2893,5.94,1.0956,NA,2418,3214,NA,0
"2894","swift",2894,5.94,1.2683,1100,NA,NA,3828,0
"2895","technique",2895,5.94,0.9982,NA,1830,4721,NA,0
"2896","thnx",2896,5.94,1.6088,NA,NA,NA,NA,0
"2897","thx",2897,5.94,1.5174,1320,NA,NA,NA,0
"2898","tide",2898,5.94,1.2357,NA,4789,NA,1787,0
"2899","trends",2899,5.94,1.2843,4336,3807,3607,NA,0
"2900","visual",2900,5.94,1.6832,NA,2301,4379,NA,0
"2901","wallet",2901,5.94,1.0577,4862,NA,NA,NA,0
"2902","wear",2902,5.94,1.3911,846,3010,2717,773,0
"2903","formation",2903,5.94,1.2521,NA,1205,NA,NA,0
"2904","cloth",2904,5.94,1.1256,NA,3005,NA,NA,0
"2905","delicate",2905,5.94,1.5331,NA,4111,NA,NA,0
"2906","echoes",2906,5.94,1.3135,NA,NA,NA,3083,0
"2907","geography",2907,5.94,1.4202,NA,4920,NA,NA,0
"2908","processing",2908,5.94,1.4055,NA,2362,NA,NA,0
"2909","swinging",2909,5.94,1.4055,NA,NA,NA,3244,0
"2910","1970's",2910,5.92,1.6517,NA,NA,NA,NA,0
"2911","aides",2911,5.92,1.3827,NA,NA,2670,NA,0
"2912","bank",2912,5.92,1.6268,1186,814,379,1818,0
"2913","banks",2913,5.92,1.2428,3085,1752,1138,3155,0
"2914","beer",2914,5.92,2.3891,839,4924,3960,1413,0
"2915","boobs",2915,5.92,2.1366,4617,NA,NA,NA,0
"2916","capital",2916,5.92,1.2428,3384,641,799,NA,0
"2917","chapters",2917,5.92,1.1753,NA,2574,NA,NA,0
"2918","chicks",2918,5.92,1.8499,3044,NA,NA,1845,0
"2919","chiefs",2919,5.92,1.3974,NA,4752,NA,NA,0
"2920","christianity",2920,5.92,2.2663,NA,2554,NA,NA,0
"2921","citizen",2921,5.92,1.3827,NA,3541,4066,NA,0
"2922","collections",2922,5.92,1.6517,NA,4784,4538,NA,0
"2923","conclude",2923,5.92,1.3827,NA,3823,NA,NA,0
"2924","constant",2924,5.92,1.14,NA,997,4670,3194,0
"2925","covered",2925,5.92,1.0069,2337,1260,2314,1926,0
"2926","devices",2926,5.92,1.1753,NA,2918,3720,NA,0
"2927","diagram",2927,5.92,1.2095,NA,3490,NA,NA,0
"2928","directors",2928,5.92,1.3827,NA,3855,1203,NA,0
"2929","doubtless",2929,5.92,1.5365,NA,4612,NA,NA,0
"2930","equity",2930,5.92,1.6762,NA,4205,2388,NA,0
"2931","fields",2931,5.92,1.2428,NA,1448,2880,1757,0
"2932","florence",2932,5.92,1.8609,NA,NA,2652,NA,0
"2933","forecast",2933,5.92,1.122,3651,NA,NA,NA,0
"2935","group",2935,5.92,1.2095,757,234,179,3079,0
"2936","guy",2936,5.92,1.3377,347,4495,1640,666,0
"2937","hah",2937,5.92,1.664,2566,NA,NA,2640,0
"2938","harvard",2938,5.92,1.7825,NA,3438,1133,NA,0
"2939","historic",2939,5.92,1.5758,NA,4584,2428,NA,0
"2941","laboratory",2941,5.92,1.7124,NA,2390,3349,NA,0
"2942","linux",2942,5.92,1.5628,3870,NA,NA,NA,0
"2943","opens",2943,5.92,1.2752,2997,NA,2872,4058,0
"2944","orlando",2944,5.92,1.4119,3093,NA,4425,NA,0
"2945","pants",2945,5.92,1.14,1420,NA,NA,1650,0
"2946","patterns",2946,5.92,1.066,NA,1555,4319,NA,0
"2947","private",2947,5.92,1.3529,1953,584,391,2331,0
"2948","publishing",2948,5.92,1.1753,NA,3250,2434,NA,0
"2949","raining",2949,5.92,2.165,2007,NA,NA,2333,0
"2950","residential",2950,5.92,1.4405,NA,NA,3299,NA,0
"2951","retirement",2951,5.92,2.1174,NA,4785,1376,NA,0
"2952","runnin",2952,5.92,1.4546,NA,NA,NA,1486,0
"2953","salon",2953,5.92,1.3679,NA,NA,NA,NA,0
"2954","sends",2954,5.92,0.9223,4855,NA,NA,4315,0
"2955","shorts",2955,5.92,1.2591,3599,NA,NA,NA,0
"2956","shown",2956,5.92,1.066,NA,454,1152,2681,0
